"dataset","record_id","field_path","claim","official_source_urls","accessed_date","direct_support","status","correction_needed","finding_id"
"BENEFIT_VALUES","cwb-disability","public/data.js:BENEFIT_VALUES[""cwb-disability""].kind","cash","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","cwb-disability","public/data.js:BENEFIT_VALUES[""cwb-disability""].annualMax","843","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","No correction identified for this published maximum; retain tax/program-year context.",""
"BENEFIT_VALUES","cwb-disability","public/data.js:BENEFIT_VALUES[""cwb-disability""].note","refundable top-up on your tax return","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","No correction identified for the refundable top-up description.","ABFED-08"
"BENEFIT_VALUES","pdd","public/data.js:BENEFIT_VALUES[""pdd""].kind","services","https://www.alberta.ca/pdd-eligibility | https://www.alberta.ca/pdd-supports-and-services | https://www.alberta.ca/pdd-how-to-apply","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","pdd","public/data.js:BENEFIT_VALUES[""pdd""].note","funded daily-living, community & employment services","https://www.alberta.ca/pdd-eligibility | https://www.alberta.ca/pdd-supports-and-services | https://www.alberta.ca/pdd-how-to-apply","2026-07-22","yes","verified","No correction identified for the service-category summary.","ABFED-04"
"BENEFIT_VALUES","fscd","public/data.js:BENEFIT_VALUES[""fscd""].kind","services","https://www.alberta.ca/fscd-eligibility","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","fscd","public/data.js:BENEFIT_VALUES[""fscd""].note","respite, services & help with some disability costs","https://www.alberta.ca/fscd-eligibility","2026-07-22","yes","verified","Broad services/cost-help description is supported; eligibility still needs correction.","ABFED-03"
"BENEFIT_VALUES","dres","public/data.js:BENEFIT_VALUES[""dres""].kind","services","https://www.alberta.ca/disability-related-employment-supports","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","dres","public/data.js:BENEFIT_VALUES[""dres""].note","funds assistive tech, training & workplace supports","https://www.alberta.ca/disability-related-employment-supports","2026-07-22","no","unsupported","Remove 'training' as a funded DRES support; official guidance excludes employment services and skills/employment training.","ABFED-07"
"BENEFIT_VALUES","ab-grant-disability","public/data.js:BENEFIT_VALUES[""ab-grant-disability""].kind","grant","https://studentaid.alberta.ca/policy/student-aid-policy-manual/eligibility-for-student-loans-and-grants/alberta-student-grants/ | https://studentaid.alberta.ca/student-aid-funding-guide/loans-and-grants-funding-guide/students-with-disabilities/students-with-disabilities-and-required-documentation/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","ab-grant-disability","public/data.js:BENEFIT_VALUES[""ab-grant-disability""].annualMax","3000","https://studentaid.alberta.ca/policy/student-aid-policy-manual/eligibility-for-student-loans-and-grants/alberta-student-grants/ | https://studentaid.alberta.ca/student-aid-funding-guide/loans-and-grants-funding-guide/students-with-disabilities/students-with-disabilities-and-required-documentation/","2026-07-22","yes","verified","No correction identified for this published maximum; retain tax/program-year context.",""
"BENEFIT_VALUES","adult-health-benefit","public/data.js:BENEFIT_VALUES[""adult-health-benefit""].kind","coverage","https://www.alberta.ca/alberta-adult-health-benefit","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","adult-health-benefit","public/data.js:BENEFIT_VALUES[""adult-health-benefit""].note","free prescriptions, dental & optical — often $1,000+/yr","https://www.alberta.ca/alberta-adult-health-benefit","2026-07-22","no","unsupported","Remove the unsourced '$1,000+/yr' estimate and qualify 'free' as eligible services subject to program rules and other-plan-first coverage.","ABFED-A01"
"BENEFIT_VALUES","child-health-benefit","public/data.js:BENEFIT_VALUES[""child-health-benefit""].kind","coverage","https://www.alberta.ca/alberta-child-health-benefit","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","child-health-benefit","public/data.js:BENEFIT_VALUES[""child-health-benefit""].note","free prescriptions, dental & optical for kids","https://www.alberta.ca/alberta-child-health-benefit","2026-07-22","partial","ambiguous","Qualify 'free' as eligible benefits subject to program schedules, limits and other-plan-first rules.","ABFED-09"
"BENEFIT_VALUES","parking-placard","public/data.js:BENEFIT_VALUES[""parking-placard""].kind","access","https://www.alberta.ca/get-parking-placard-people-disabilities","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","parking-placard","public/data.js:BENEFIT_VALUES[""parking-placard""].note","low-cost accessible parking permit","https://www.alberta.ca/get-parking-placard-people-disabilities","2026-07-22","no","unsupported","Remove 'low-cost'; the official page does not publish or promise a placard fee and users may still owe parking charges.","ABFED-06"
"BENEFIT_VALUES","airdrie-fair-access","public/data.js:BENEFIT_VALUES[""airdrie-fair-access""].kind","discount","https://www.airdrie.ca/index.cfm?serviceID=2157","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","airdrie-fair-access","public/data.js:BENEFIT_VALUES[""airdrie-fair-access""].note","25–75% off transit + Genesis Place recreation","https://www.airdrie.ca/index.cfm?serviceID=2157","2026-07-22","yes","verified","No correction to these discount tiers; matcher income proxy remains unsafe.","DATA-04; ABFED-15"
"BENEFIT_VALUES","woodbuffalo-lift","public/data.js:BENEFIT_VALUES[""woodbuffalo-lift""].kind","discount","https://www.rmwb.ca/programs-and-services/transit/low-income-fare-transit-program-lift/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","woodbuffalo-lift","public/data.js:BENEFIT_VALUES[""woodbuffalo-lift""].note","$10/mo transit pass + 75% off SMART Bus + 60% off recreation","https://www.rmwb.ca/programs-and-services/transit/low-income-fare-transit-program-lift/","2026-07-22","partial","ambiguous","Use the current official term 'Specialized Transit'; percentages and $10 amount are supported.","ABFED-11"
"BENEFIT_VALUES","sprucegrove-low-income-transit","public/data.js:BENEFIT_VALUES[""sprucegrove-low-income-transit""].kind","discount","https://www.sprucegrove.org/services/spruce-grove-transit/transit-fares/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","sprucegrove-low-income-transit","public/data.js:BENEFIT_VALUES[""sprucegrove-low-income-transit""].note","$25/mo local or $50/mo commuter transit pass","https://www.sprucegrove.org/services/spruce-grove-transit/transit-fares/","2026-07-22","manual","manual follow-up required","Obtain direct City confirmation before publishing $25/$50; current official page does not state the exact prices.","ABFED-12"
"BENEFIT_VALUES","leduc-subsidies","public/data.js:BENEFIT_VALUES[""leduc-subsidies""].kind","discount","https://www.leduc.ca/community/family-community-support-services/housing-financial-support","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","leduc-subsidies","public/data.js:BENEFIT_VALUES[""leduc-subsidies""].note","half-price local, commuter and LATS transit + a free rec membership","https://www.leduc.ca/community/family-community-support-services/housing-financial-support","2026-07-22","yes","verified","No correction identified.",""
"BENEFIT_VALUES","cochrane-connect-card","public/data.js:BENEFIT_VALUES[""cochrane-connect-card""].kind","discount","https://www.cochrane.ca/node/241/financial-resources/cochrane-connect-card","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","cochrane-connect-card","public/data.js:BENEFIT_VALUES[""cochrane-connect-card""].note","25% off local transit + 50% off SLS Centre monthly passes","https://www.cochrane.ca/node/241/financial-resources/cochrane-connect-card","2026-07-22","yes","verified","No correction identified.",""
"BENEFIT_VALUES","okotoks-fee-assistance","public/data.js:BENEFIT_VALUES[""okotoks-fee-assistance""].kind","discount","https://www.okotoks.ca/your-community/social-well-being/family-community-resources/okotoks-family-resource-centre-7","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","okotoks-fee-assistance","public/data.js:BENEFIT_VALUES[""okotoks-fee-assistance""].note","80% off most Town programs, passes and admission","https://www.okotoks.ca/your-community/social-well-being/family-community-resources/okotoks-family-resource-centre-7","2026-07-22","yes","verified","No correction to the discount; geographic matching needs Foothills County.","ABFED-13"
"BENEFIT_VALUES","canmore-affordable-services","public/data.js:BENEFIT_VALUES[""canmore-affordable-services""].kind","discount","https://www.canmore.ca/your-community/community-supports-and-services/affordable-services-program","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","canmore-affordable-services","public/data.js:BENEFIT_VALUES[""canmore-affordable-services""].note","discounts on local transit, recreation and community services","https://www.canmore.ca/your-community/community-supports-and-services/affordable-services-program","2026-07-22","yes","verified","No correction to this broad value statement; eligibility status/residence rules remain incomplete.","ABFED-14"
"BENEFIT_VALUES","lloydminster-recreation-access","public/data.js:BENEFIT_VALUES[""lloydminster-recreation-access""].kind","discount","https://www.lloydminster.ca/recreation-culture-community/social-programs-and-services/recreation-access-program/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","lloydminster-recreation-access","public/data.js:BENEFIT_VALUES[""lloydminster-recreation-access""].note","$2 adult drop-in admission at City recreation facilities","https://www.lloydminster.ca/recreation-culture-community/social-programs-and-services/recreation-access-program/","2026-07-22","yes","verified","The $2 adult admission is supported; disclose the additional child, membership and theatre benefits.","ABFED-13"
"BENEFIT_VALUES","fortsask-access","public/data.js:BENEFIT_VALUES[""fortsask-access""].kind","discount","https://www.fortsask.ca/recreation-parks/program-registrations-drop-in-classes/access-for-everyone-program/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","fortsask-access","public/data.js:BENEFIT_VALUES[""fortsask-access""].note","free multi-facility membership and reduced local or commuter transit fares","https://www.fortsask.ca/recreation-parks/program-registrations-drop-in-classes/access-for-everyone-program/","2026-07-22","yes","verified","No correction to the value statement; matcher needs official alternate eligibility routes.","ABFED-13"
"BENEFIT_VALUES","local-supports","public/data.js:BENEFIT_VALUES[""local-supports""].kind","discount","https://ab.211.ca/","2026-07-22","manual","manual follow-up required","Internal value taxonomy is not an official program fact; validate classification and its effect on ranking/estimated totals with product and user research.","ABFED-A02"
"BENEFIT_VALUES","local-supports","public/data.js:BENEFIT_VALUES[""local-supports""].note","varies by community","https://ab.211.ca/","2026-07-22","yes","verified","No correction identified; value necessarily varies by local program.",""
"BENEFIT_META","cwb-disability","public/data.js:BENEFIT_META[""cwb-disability""].difficulty","1","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","manual","manual follow-up required","Difficulty is an unsourced editorial score that changes display and priority order; establish a documented rubric and validate with disabled users before treating it as evidence-based.","ABFED-A02"
"BENEFIT_META","cwb-disability","public/data.js:BENEFIT_META[""cwb-disability""].effort","Claimed on your tax return","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","No correction identified at this concise effort level.",""
"BENEFIT_META","cwb-disability","public/data.js:BENEFIT_META[""cwb-disability""].wait","at tax time","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","No correction identified for the published/general timing description.",""
"BENEFIT_META","pdd","public/data.js:BENEFIT_META[""pdd""].difficulty","3","https://www.alberta.ca/pdd-eligibility | https://www.alberta.ca/pdd-supports-and-services | https://www.alberta.ca/pdd-how-to-apply","2026-07-22","manual","manual follow-up required","Difficulty is an unsourced editorial score that changes display and priority order; establish a documented rubric and validate with disabled users before treating it as evidence-based.","ABFED-A02"
"BENEFIT_META","pdd","public/data.js:BENEFIT_META[""pdd""].effort","Assessment-based","https://www.alberta.ca/pdd-eligibility | https://www.alberta.ca/pdd-supports-and-services | https://www.alberta.ca/pdd-how-to-apply","2026-07-22","yes","verified","No correction identified at this concise effort level.",""
"BENEFIT_META","pdd","public/data.js:BENEFIT_META[""pdd""].wait","varies","https://www.alberta.ca/pdd-eligibility | https://www.alberta.ca/pdd-supports-and-services | https://www.alberta.ca/pdd-how-to-apply","2026-07-22","partial","ambiguous","This is cautious non-numeric wording rather than a published service standard; keep it clearly framed as unknown/current-program confirmation.",""
"BENEFIT_META","fscd","public/data.js:BENEFIT_META[""fscd""].difficulty","2","https://www.alberta.ca/fscd-eligibility","2026-07-22","manual","manual follow-up required","Difficulty is an unsourced editorial score that changes display and priority order; establish a documented rubric and validate with disabled users before treating it as evidence-based.","ABFED-A02"
"BENEFIT_META","fscd","public/data.js:BENEFIT_META[""fscd""].effort","Meet with an FSCD worker","https://www.alberta.ca/fscd-eligibility","2026-07-22","yes","verified","No correction identified at this concise effort level.",""
"BENEFIT_META","fscd","public/data.js:BENEFIT_META[""fscd""].wait","varies","https://www.alberta.ca/fscd-eligibility","2026-07-22","partial","ambiguous","This is cautious non-numeric wording rather than a published service standard; keep it clearly framed as unknown/current-program confirmation.",""
"BENEFIT_META","dres","public/data.js:BENEFIT_META[""dres""].difficulty","2","https://www.alberta.ca/disability-related-employment-supports","2026-07-22","manual","manual follow-up required","Difficulty is an unsourced editorial score that changes display and priority order; establish a documented rubric and validate with disabled users before treating it as evidence-based.","ABFED-A02"
"BENEFIT_META","dres","public/data.js:BENEFIT_META[""dres""].effort","Meet at an Alberta Supports Centre","https://www.alberta.ca/disability-related-employment-supports","2026-07-22","yes","verified","No correction identified at this concise effort level.",""
"BENEFIT_META","dres","public/data.js:BENEFIT_META[""dres""].wait","varies","https://www.alberta.ca/disability-related-employment-supports","2026-07-22","partial","ambiguous","This is cautious non-numeric wording rather than a published service standard; keep it clearly framed as unknown/current-program confirmation.",""
"BENEFIT_META","ab-grant-disability","public/data.js:BENEFIT_META[""ab-grant-disability""].difficulty","2","https://studentaid.alberta.ca/policy/student-aid-policy-manual/eligibility-for-student-loans-and-grants/alberta-student-grants/ | https://studentaid.alberta.ca/student-aid-funding-guide/loans-and-grants-funding-guide/students-with-disabilities/students-with-disabilities-and-required-documentation/","2026-07-22","manual","manual follow-up required","Difficulty is an unsourced editorial score that changes display and priority order; establish a documented rubric and validate with disabled users before treating it as evidence-based.","ABFED-A02"
"BENEFIT_META","ab-grant-disability","public/data.js:BENEFIT_META[""ab-grant-disability""].effort","Student aid + Schedule 4 (once)","https://studentaid.alberta.ca/policy/student-aid-policy-manual/eligibility-for-student-loans-and-grants/alberta-student-grants/ | https://studentaid.alberta.ca/student-aid-funding-guide/loans-and-grants-funding-guide/students-with-disabilities/students-with-disabilities-and-required-documentation/","2026-07-22","no","outdated","Remove '(once)': Schedule 4/services-and-equipment details are application-specific under current policy.","ABFED-05"
"BENEFIT_META","ab-grant-disability","public/data.js:BENEFIT_META[""ab-grant-disability""].wait","with student aid","https://studentaid.alberta.ca/policy/student-aid-policy-manual/eligibility-for-student-loans-and-grants/alberta-student-grants/ | https://studentaid.alberta.ca/student-aid-funding-guide/loans-and-grants-funding-guide/students-with-disabilities/students-with-disabilities-and-required-documentation/","2026-07-22","yes","verified","No correction identified for the published/general timing description.",""
