record_id,line,benefit_claims,meta_claims,benefit_value_present,status,evidence_label,official_source,apply_url,claim_groups_reviewed,material_result,correction_or_followup
bc-pwd-designation,2111,29,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/pwd-designation-and-application/designation-application,https://myselfserve.gov.bc.ca/,"name; amount; summary; eligibility; forms; professionals; prescribed classes; documents; steps; time; phone; source/apply; META; BENEFIT_VALUES",BC-BC-02,"Replace 'five prescribed classes' and remove ISC from the HR3642 list. The current policy lists four prescribed classes; ISC-designated applicants moving off reserve use consent/file review and may still need HR2883."
bc-fair-pharmacare,2134,27,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/fair-pharmacare-plan,https://my.gov.bc.ca/ahdc,"amount bands; two-year income; MSP; CRA consent; deductible/family maximum; 70/75/100%; documents; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found. Current official page directly supports the material claims."
bc-pharmacare-plan-c,2156,24,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/plan-c,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/plan-c,"100% eligible costs; automatic groups; medical devices exception; urgent 48-hour process; steps; documents; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
bc-healthy-kids,2178,29,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/healthy-kids,https://my.gov.bc.ca/ahdc,"$2,000 dental; annual glasses; hearing instruments; under 19; adjusted income under $42,000; assistance exclusion; documents; provider charges; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Use the current Healthy Kids policy/Benefits Connector as the canonical source; the stored source URL is an older but related provincial page."
bc-medical-transportation,2200,28,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-transportation,https://myselfserve.gov.bc.ca/,"$0.36/km; fares; accommodation; escort; covered recipients; essential treatment; preapproval; exceptional meals $8; HR3320; 12-month recurring approval; exclusions; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handydart-translink,2222,27,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/handydart,https://www.translink.ca/rider-guide/transit-accessibility/handydart,"July 2026 fares; one-zone rule; functional eligibility; booking window; hours; combined form; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handycard-translink,2244,26,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,https://www.translink.ca/rider-guide/transit-accessibility/handydart,"concession fare; attendant free; TaxiSaver access; age 12; region; functional barrier; combined form; photo; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
taxisaver-translink,2266,27,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,"$25 buys $50; two books/month; HandyCard prerequisite; ordering; participating taxi use; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handydart-bctransit,2288,27,3,no,correction_required,Source-confirmed,https://www.bctransit.com/victoria/riderinfo/handydart/,https://www.bctransit.com/victoria/riderinfo/handydart/register/,"regional eligibility; registration; attendant; fares vary; regional forms; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-06,"The result is province-wide but both source and apply links are Victoria-specific. Route the CTA through a BC Transit community selector/general handyDART page or generate a community-specific link."
taxi-saver-bctransit,2310,28,3,no,verified,Source-confirmed,https://www.bctransit.com/victoria/riderinfo/handydart/taxi-saver/,https://www.bctransit.com/victoria/riderinfo/handydart/taxi-saver/,"Victoria-only scope; 12+; permanent handyDART; handyPASS; $40 buys $80; one book/month; denominations; restrictions; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No correction found because the record explicitly limits itself to Victoria and tells other regions to check locally."
bc-disability-assistance-pwd,2332,32,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/bc-employment-and-assistance-rate-tables/disability-assistance-rate-table,https://myselfserve.gov.bc.ca/,"support/shelter rates; $52 transport choice; annual earnings exemptions; asset limits; residency; financial/PWD eligibility; monthly reporting; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Material 2026 rates and limits were directly supported by current official rate, earnings-exemption and asset tables."
bc-autism-funding-under-6,2355,31,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/funding-amount,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/apply,"$22,000; age/diagnosis; RASP; eligible uses; transition dates; TTE cap; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-03,"Current CYSN transition guidance says the final funding-period training/travel/equipment allowance increased from 20% to 50%. Explain that the older autism equipment subpage still says 20% and tell families to confirm the agreement-specific cap."
bc-autism-funding-6-18,2379,30,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/funding-amount,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/apply,"$6,000; age/diagnosis; service categories; transition dates; TTE cap; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-03;BC-BC-04,"Change the final-period TTE statement from 20% to 50% with official-source inconsistency caveat. Remove 'most transitioning families see an increase' unless a current official source directly establishes that distribution."
bc-cy-disability-benefit,2403,28,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/financial-supports/disability-benefit,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/financial-supports/disability-benefit,"$6,500/$17,000; age 0-19; functional eligibility; direct/needs-review pathways; eligible/ineligible uses; phased transition; new intake timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-05,"The factual page is current, but the broad requires predicate can label a new family 'ready' before direct intake opens April 2027. Result status must distinguish existing-family transition from future direct intake/current-pathway application."
bc-monthly-nutritional-supplement,2427,27,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/monthly-nutritional-supplement,https://www2.gov.bc.ca/assets/gov/british-columbians-our-governments/policies-for-government/bc-employment-assistance-policy-procedure-manual/forms/pdfs/hr2847.pdf,"$180+$45; PWD/disability assistance; deterioration/symptoms; imminent danger test; HR2847; authorized professionals; review/reconsideration; time; phone; URLs; META; BENEFIT_VALUES",BC-BC-07,"Remove unsupported 'typically a few weeks' and 'denials are frequently overturned' assertions. State that no guaranteed processing time or success rate is published; preserve the formal reconsideration right."
bc-optical-supplement,2450,22,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/bc-employment-and-assistance-rate-tables/health-supplements-and-programs-rate-table,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/on-assistance/supplements/optical,"$44.83/$48.90; two-year cycle; eyewear/repairs; assistance eligibility; provider billing; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
bc-bus-pass,2472,26,3,no,outdated,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/bc-bus-pass-program,https://www2.gov.bc.ca/gov/content/transportation/passenger-travel/buses-taxis-limos/bus-pass/people-with-disabilities,"fee; PWD/senior streams; $52 transportation interaction; service area; request date; six-week delivery; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-08,"PWD disability-assistance recipients receive the bus pass at no cost and choose it instead of the $52/month transportation supplement. The $45 annual fee applies to the eligible senior/other stream, not PWD recipients. Correct amount, summary, note, detail, steps and value model."
sparc-parking-permit,2495,28,3,no,verified,Source-confirmed,https://www.sparc.bc.ca/parking-permits/,https://www.sparc.bc.ca/parking-permits/,"mobility eligibility; vehicle ownership; permit types/durations; medical referral; current-fee deferral; 2-3 weeks; display/use; phone/email; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found. The record appropriately tells users to confirm the current fee."
bc-medical-equipment-devices,2519,28,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-and-devices,https://myselfserve.gov.bc.ca/,"equipment categories; scooter/lift caps; prescription; OT/PT assessment; payer of last resort; preapproval; exclusions; replacement periods; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Material caps, categories and replacement periods were directly supported. Treat the prose timeline as an estimate, not an official service standard."
bc-at-home-medical,2542,30,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/complex-health-needs/at-home-program/at-home-guide,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/complex-health-needs/at-home-program/at-home-program-eligibility,"age/residency/MSP/home; 3-of-4 ADLs; equipment/dental/optical/Plan F; caps; age-out; transition; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Material eligibility and cited caps were directly supported; regional pilot routing remains a manual operational check."
bc-supported-child-development,2565,25,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/information-for-partners-providers/inclusive-child-care,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/early-childhood-intervention,"inclusive childcare purpose; child/family/provider support; local referral; no fixed amount; documents; local timing; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found. Prefer the newer inclusive-child-care page as canonical source."
bc-at-home-saet,2586,29,3,no,manual_followup_required,Manual validation required,https://www2.gov.bc.ca/assets/gov/family-and-social-supports/children-teens-with-support-needs/at_home_program_guide.pdf,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/complex-health-needs/at-home-program/medical-benefits,"historic caps/rates; At Home prerequisite; therapy categories; school non-duplication; forms; transition; new/current family routing; phone; URLs; META; BENEFIT_VALUES",BC-BC-09,"Current official transition material says SAET-only families began moving in April 2026. The old guide still publishes SAET caps. Government clarification is required on whether a newly eligible family can receive SAET now; do not show an unqualified 'ready' outcome until that is resolved."
bc-clbc,2610,33,3,no,correction_required,Source-confirmed,https://www.communitylivingbc.ca/who-does-clbc-support/eligible-clbc-support/,https://www.communitylivingbc.ca/who-does-clbc-support/eligible-clbc-support/,"age 19/services from 16 intake; DD criteria; PSI autism/FASD; adaptive functioning; documents/professionals; service categories; lifespan; phone; URLs; META; BENEFIT_VALUES",BC-BC-10,"Remove unsupported 'respite commonly the first service' statement. Replace 'usually also qualify for PWD assistance' with the exact rule: CLBC eligibility is a prescribed-class route to PWD designation, but disability-assistance residency/identity/financial requirements still apply."
bc-csg-students-disabilities,2634,29,3,no,verified,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/canada-student-grant-students-disabilities,https://studentaidbc.ca/apply/how-to-apply-disability-funding,"$2,800; program year; temporary end date; designated school; student aid; permanent/persistent/prolonged disability; online status process; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
bc-csg-services-equipment,2658,26,3,no,correction_required,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/canada-student-grant-services-and-equipment-students-disabilities,https://studentaidbc.ca/apply/how-to-apply-disability-funding,"$20,000; service/equipment categories; disability/student-aid eligibility; estimates/receipts; annual period; current application process; phone; URLs; META; BENEFIT_VALUES",BC-BC-11,"The visible record explains the June 2026 online process, but BENEFIT_META still says 'Appendix 8'. Align META and all guide/context copies with the current online Disability status/application process."
bc-access-grant-students-disabilities,2682,27,3,no,verified,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/bc-access-grant-students-disabilities,https://studentaidbc.ca/explore/grants-scholarships/bc-access-grant-students-disabilities,"$1,560/$30 week; full-time; public BC institution; financial need; disability verification; train-out; automatic assessment; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found; consider explaining the published train-out dates."
bc-supplemental-bursary-students-disabilities,2706,27,3,no,verified,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/bc-supplemental-bursary-students-disabilities,https://studentaidbc.ca/explore/grants-scholarships/bc-supplemental-bursary-students-disabilities,"$800/$400; course-load bands; public BC school; financial need; disability verification; train-out; automatic assessment; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-assistance-program-students-disabilities,2730,29,3,no,verified,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/bc-assistance-program-students-disabilities,https://studentaidbc.ca/explore/grants-scholarships/bc-assistance-program-students-disabilities,"$10,000/$12,000 attendant; exceptional costs; public BC institution; CSG-DSE exhaustion; developmental courses; documents; process; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-learning-disability-assessment-bursary,2754,28,3,no,verified,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/learning-disability-assessment-bursary,https://studentaidbc.ca/explore/grants-scholarships/learning-disability-assessment-bursary,"up to $3,500; public school; accessibility referral; financial/student-aid rules; assessment/receipt; reimbursement; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-access-grant-deaf-students,2778,28,3,no,outdated,Source-confirmed,https://studentaidbc.ca/explore/grants-scholarships/bc-access-grant-deaf-students,https://studentaidbc.ca/explore/grants-scholarships/bc-access-grant-deaf-students,"amount; Gallaudet/NTID; deaf/hard-of-hearing; 60% course load; financial need; student-aid process; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-12,"The 2026/27 official StudentAid BC policy manual publishes up to $30,000 per program year. Replace 'amount not published' with that capped/assessed amount and cite the policy manual alongside the program page."
bc-dental-supplement,2802,24,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/on-assistance/supplements/dental,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/on-assistance/supplements/dental,"adult $1,000/2 years; child $2,000/2 years; $1,000 GA; odd-year cycle; assistance groups; emergency care; provider payment; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-home-reno-tax-credit,2825,26,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/seniors-renovation,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/seniors-renovation,"10%/$1,000; refundable; DTC/senior/cohabiting family; principal residence; eligible/ineligible work; tax forms; receipts; phone; URLs; META; BENEFIT_VALUES",BC-BC-13,"Delete or clarify 'Active for the 2025 and 2026 tax years': the current official page describes an ongoing annual credit and does not identify 2026 as an expiry."
bc-work-able-internship,2848,26,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/internship-co-op-opportunities/work-able,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/internship-co-op-opportunities/work-able,"paid/up to 24 months; disability self-ID; recent graduate; BC residence/work authority; 2026/27 closed; spring 2027 intake; internal postings; documents; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-workbc-assistive-technology,2870,27,3,no,verified,Source-confirmed,https://www.workbc.ca/get-support/assistive-technology-pwd,https://apply.workbc.ca/,"full/partial funding; equipment/services; 16+; BC/work authority; student exception; work/volunteer/self-employment; disability/functional barrier; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material claim correction found. Update stored source to the current canonical WorkBC URL if the old path redirects."
bc-workbc-employment-services,2893,28,3,no,correction_required,Source-confirmed,https://www.workbc.ca/discover-employment-services/workbc-centres/employment-services/employment-services-eligibility,https://www.workbc.ca/discover-employment-services/workbc-centres,"free services; legal-to-work and labour-force criteria; employed/student exceptions; disability services; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-14,"The predicate only requires BC, age 16+ and employmentActive, so it can label stably employed or otherwise ineligible users 'ready'. Encode official labour-force eligibility/exception rules or downgrade to 'check eligibility'."
bc-fuel-tax-refund-disabilities,2915,28,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/refund-disabilities,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/refund-disabilities,"$500; eligible disability proofs; vehicle ownership/lease; register first; receipts; four-year claim; ICBC link; forms; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-icbc-disability-discount,2937,25,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/refund-disabilities,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/refund-disabilities,"25% Basic Autoplan; EV; fuel-tax registration; broker steps; documents; timing; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-property-tax-deferment-disabilities,2958,29,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/property-tax-deferment-program/eligibility,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/property-tax-deferment-program/eligibility,"loan; prime+2%; $60/$10 fees; PWD; BC/citizen-owner/principal residence; 25% equity; exclusions; May-Dec; compounding; documents; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
bc-sales-tax-credit,2979,26,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/sales-tax,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/sales-tax,"$75/$75; BC Dec 31; age/spouse/parent; $15k/$18k reductions; refundable; three-year claim; BC479; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
vancouver-leisure-access,3001,27,3,no,verified,Source-confirmed,https://vancouver.ca/parks-recreation-culture/leisure-access-card.aspx,https://vancouver.ca/parks-recreation-culture/leisure-access-card.aspx,"3-year pass; free/discounted access; benefit/income/referral routes; city boundary; documents; child consent; timing; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
surrey-leisure-access,3022,27,3,no,verified,Source-confirmed,https://www.surrey.ca/parks-recreation/activities-registration/admissions-passes/leisure-access-program,https://www.surrey.ca/parks-recreation/activities-registration/admissions-passes/leisure-access-program,"child/youth/senior free; adult 75%; registered programs 75%; income/other routes; documents; interpretation; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material claim correction found. Stored old-path URL should be replaced with current canonical URL if redirect validation confirms."
burnaby-fair-play,3044,25,3,no,verified,Source-confirmed,https://www.burnaby.ca/services-and-payments/seniors-and-family-support/fair-play-program,https://www.burnaby.ca/services-and-payments/seniors-and-family-support/fair-play-program,"$250/$500; annual Be Active pass; eligible routes; one-year term; documents; use; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
richmond-rec-fee-subsidy,3065,27,3,no,verified,Source-confirmed,https://www.richmond.ca/culture/social/accessibility/subsidies/recreation-fee.htm,https://www.richmond.ca/culture/social/accessibility/subsidies/recreation-fee.htm,"unlimited drop-in; 90%; $300/$100 caps; financial hardship; program year; documents; application; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
victoria-life,3087,26,3,no,verified,Source-confirmed,https://www.victoria.ca/parks-recreation/recreation/accessibility-inclusion/life-program,https://www.victoria.ca/parks-recreation/recreation/accessibility-inclusion/life-program,"2 years; local/regional admissions; $80/$120 credit; income table; residency; documents/adjudicator; annual sticker; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
saanich-life,3108,26,3,no,verified,Source-confirmed,https://www.saanich.ca/EN/main/parks-recreation-community/community-services/financial-assistance/financial-assistance.html,https://www.saanich.ca/EN/main/parks-recreation-community/community-services/financial-assistance/financial-assistance.html,"2 years; regional visits; $80/$120; residency; Proof of Income Statements; newcomer route; five-day setup; documents; URLs; META; BENEFIT_VALUES",BC-BC-01,"No material correction found."
kelowna-recreation-assistance,3129,28,3,no,correction_required,Source-confirmed,https://www.kelowna.ca/parks-recreation/recreation-sport/recreation-programs-registration/financial-assistance-recreation,https://www.kelowna.ca/parks-recreation/recreation-sport/recreation-programs-registration/financial-assistance-recreation,"credit; full-time residency; citizen/PR; 2025 LICO table; all income; government assistance; student exclusion; documents; two-week time; URLs; META; BENEFIT_VALUES",BC-BC-15,"Official rules exclude post-secondary students, but the record and evaluator omit that exclusion and can label them 'ready'. Add the exclusion to eligibility/predicate and recovery copy."
coquitlam-far,3150,27,3,no,correction_required,Source-confirmed,https://www.coquitlam.ca/499/Financial-Assistance-for-Recreation,https://www.coquitlam.ca/499/Financial-Assistance-for-Recreation,"50 passes+$225 each; 2025 LICO; family definition; verification routes; residency; immigration status/exclusions; processing; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-16,"Official rules admit Canadian citizens/permanent residents and refugees, and exclude temporary residents/work-study permit holders plus business-class investors/entrepreneurs. The record/predicate omit these rules and can produce false-ready outcomes."
kamloops-arch,3172,27,3,no,correction_required,Source-confirmed,https://www.kamloops.ca/recreation-culture/programs-activities/accessible-recreation/arch-program,https://www.kamloops.ca/recreation-culture/programs-activities/accessible-recreation/arch-program,"up to $400; annual; residency/income; screening agency; ARCH activation; combined form; KamPASS separate eligibility/exclusions; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-17,"The same form can request both programs, but KamPASS has different exclusions, including PWD disability-assistance recipients. Rewrite summary/note so it does not imply ARCH approval also gets KamPASS; reverify immediately when the 2025-26 form expires."
